Feature,Value
words per sent,13.0
LIX,31.46153846153846
# words,65
# sents,5
discourse entities,0.8
avg entity frequency,1.5
vocabulary density,0.7
adjectives,0.8
nouns,1.6
verbs,2.4
pronouns,4.0
particles,2.6
punctuation marks,1.6
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.8
full verbs,1.4
split verbs,0.0
nominative,0.6
accusative,2.0
dative,0.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,1.6
dative obj,0.4
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,2.0
gen+prep obj,0.0
present forms,1.4
past forms,0.0
perfect forms,0.4
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.4
subjunctions,0.0
relative clauses,0.4
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.2
question words,0.0
question marks,0.0
subj/pred inversions,0.6
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,4.4
concessive,0.2
conditional,4.0
consecutive,1.8
final,0.0
interrogative,0.2
modal,0.0
other,8.0
temporal,1.6
A1 features,4
A1 features summed,1.2000000000000002
A2 features,4
A2 features summed,10.600000000000001
B1 features,5
B1 features summed,4.2
level features (all),22
level features (all) summed,26.199999999999992
