Feature,Value
words per sent,15.84
LIX,35.78949494949495
# words,792
# sents,50
discourse entities,0.02
avg entity frequency,0.0
vocabulary density,0.5488565488565489
adjectives,1.06
nouns,2.36
verbs,2.12
pronouns,3.5
particles,3.48
punctuation marks,3.16
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.08
aux verbs,0.56
full verbs,1.42
split verbs,0.14
nominative,0.7
accusative,0.62
dative,0.62
genitive,0.24
gen modifiers,0.16
prep with gen,0.02
all genitives,0.18
accusative obj,0.5
dative obj,0.16
genitive obj,0.0
prepositional obj,0.06
acc+dat obj,0.66
gen+prep obj,0.06
present forms,0.88
past forms,0.22
perfect forms,0.04
pqp forms,0.08
perfect+pqp forms,0.16
past aux forms,0.02
futur 1 forms,0.0
futur 2 forms,0.12
all futur forms,0.02
subj 1 forms,0.02
subj 2 forms,0.02
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.04
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.06
comp+superlative,0.16
conjunctions,0.14
subjunctions,0.12
relative clauses,0.16
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.16
question words,0.22
question marks,0.06
subj/pred inversions,0.42
placeholder 'es',0.02
'brauchen' constr,0.0
'lassen' constr,0.04
'brauchen'+'lassen' constr,0.04
causal,37.74
concessive,3.46
conditional,58.86
consecutive,0.02
final,5.54
interrogative,2.12
modal,18.02
other,92.72
temporal,73.44
A1 features,8
A1 features summed,0.8600000000000001
A2 features,8
A2 features summed,97.32
B1 features,5
B1 features summed,79.19999999999999
level features (all),46
level features (all) summed,25.179999999999993
