Feature,Value
words per sent,10.5
LIX,13.357142857142858
# words,105
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6875
adjectives,0.3
nouns,0.9
verbs,2.1
pronouns,2.3
particles,2.5
punctuation marks,2.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,0.4
full verbs,1.2
split verbs,0.1
nominative,0.2
accusative,0.7
dative,0.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.8
gen+prep obj,0.1
present forms,1.1
past forms,0.2
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.1
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.1
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.1
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.3
subjunctions,0.1
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.1
subj/pred inversions,0.5
placeholder 'es',0.1
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,112.7
concessive,11.5
conditional,231.5
consecutive,7.3
final,17.2
interrogative,6.1
modal,52.5
other,262.9
temporal,226.8
A1 features,8
A1 features summed,1.3000000000000003
A2 features,6
A2 features summed,352.0
B1 features,4
B1 features summed,251.70000000000002
level features (all),30
level features (all) summed,18.300000000000008
