Feature,Value
words per sent,5.7
LIX,16.226315789473684
# words,57
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6857142857142857
adjectives,0.2
nouns,1.1
verbs,0.5
pronouns,1.5
particles,1.1
punctuation marks,1.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.2
full verbs,0.1
split verbs,0.0
nominative,0.2
accusative,0.3
dative,0.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.2
dative obj,0.1
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.3
gen+prep obj,0.0
present forms,0.1
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.2
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.1
question marks,0.2
subj/pred inversions,0.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,119.2
concessive,12.0
conditional,246.5
consecutive,7.3
final,17.5
interrogative,6.6
modal,55.2
other,283.9
temporal,239.4
A1 features,2
A1 features summed,0.30000000000000004
A2 features,5
A2 features summed,373.2
B1 features,4
B1 features summed,265.3
level features (all),20
level features (all) summed,8.299999999999999
