Feature,Value
words per sent,23.1
LIX,36.08701298701299
# words,231
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5289855072463768
adjectives,1.4
nouns,3.5
verbs,3.3
pronouns,4.8
particles,3.7
punctuation marks,6.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,1.2
full verbs,2.0
split verbs,0.2
nominative,1.7
accusative,0.8
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.8
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,1.0
gen+prep obj,0.1
present forms,2.5
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.4
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.5
subjunctions,0.2
relative clauses,0.4
participial clauses pres,0.1
participial clauses past,0.0
all participial clauses,0.1
negations,0.0
question words,0.3
question marks,0.1
subj/pred inversions,1.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,180.6
concessive,19.8
conditional,329.3
consecutive,7.8
final,25.7
interrogative,11.4
modal,71.9
other,363.2
temporal,305.4
A1 features,5
A1 features summed,1.2000000000000002
A2 features,6
A2 features summed,518.1
B1 features,5
B1 features summed,344.79999999999995
level features (all),29
level features (all) summed,37.300000000000004
