Feature,Value
words per sent,13.8
LIX,21.771014492753622
# words,138
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5172413793103449
adjectives,0.5
nouns,1.8
verbs,0.4
pronouns,0.7
particles,6.0
punctuation marks,4.3
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.2
full verbs,0.2
split verbs,0.0
nominative,0.2
accusative,0.5
dative,0.2
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.1
dative obj,0.1
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.2
gen+prep obj,0.0
present forms,0.1
past forms,-0.1
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,77.5
concessive,7.6
conditional,153.0
consecutive,5.3
final,14.7
interrogative,4.0
modal,37.0
other,200.3
temporal,155.5
A1 features,0
A1 features summed,0.0
A2 features,4
A2 features summed,235.8
B1 features,4
B1 features summed,172.4
level features (all),19
level features (all) summed,15.799999999999994
