Feature,Value
words per sent,11.0
LIX,22.81818181818182
# words,110
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.75
adjectives,0.5
nouns,1.9
verbs,1.3
pronouns,2.0
particles,2.9
punctuation marks,2.4
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.1
full verbs,1.2
split verbs,0.3
nominative,0.5
accusative,0.4
dative,0.5
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.4
dative obj,0.2
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.6
gen+prep obj,0.1
present forms,0.2
past forms,0.8
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.0
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.0
question marks,0.2
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,29.2
concessive,2.2
conditional,51.4
consecutive,0.0
final,4.8
interrogative,1.2
modal,15.1
other,70.7
temporal,49.4
A1 features,4
A1 features summed,0.8
A2 features,5
A2 features summed,81.7
B1 features,4
B1 features summed,52.9
level features (all),25
level features (all) summed,17.3
