Feature,Value
words per sent,10.5
LIX,20.976190476190474
# words,105
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6615384615384615
adjectives,0.5
nouns,1.5
verbs,1.4
pronouns,2.4
particles,2.1
punctuation marks,2.5
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,0.8
split verbs,0.0
nominative,0.4
accusative,0.4
dative,0.6
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.2
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.2
gen+prep obj,0.0
present forms,0.3
past forms,0.3
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.1
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.2
question marks,0.1
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,32.8
concessive,2.9
conditional,56.2
consecutive,0.0
final,5.2
interrogative,1.7
modal,15.6
other,84.0
temporal,60.2
A1 features,4
A1 features summed,0.6000000000000001
A2 features,3
A2 features summed,89.3
B1 features,3
B1 features summed,64.8
level features (all),21
level features (all) summed,14.899999999999999
