Feature,Value
words per sent,8.3
LIX,20.34819277108434
# words,83
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.5454545454545454
adjectives,0.5
nouns,0.8
verbs,1.0
pronouns,1.8
particles,1.5
punctuation marks,2.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.3
full verbs,0.5
split verbs,0.1
nominative,0.1
accusative,0.4
dative,0.3
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.4
dative obj,0.0
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.4
gen+prep obj,0.0
present forms,0.8
past forms,0.1
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.1
question words,0.1
question marks,0.1
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,197.8
concessive,23.6
conditional,356.8
consecutive,7.8
final,27.5
interrogative,12.0
modal,79.0
other,404.1
temporal,338.0
A1 features,5
A1 features summed,0.5
A2 features,4
A2 features summed,562.5
B1 features,4
B1 features summed,381.4
level features (all),21
level features (all) summed,12.500000000000002
