Feature,Value
words per sent,23.3
LIX,32.74206008583691
# words,233
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.552
adjectives,1.4
nouns,2.3
verbs,4.8
pronouns,4.6
particles,6.3
punctuation marks,3.8
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.4
aux verbs,1.3
full verbs,3.1
split verbs,0.3
nominative,0.6
accusative,1.1
dative,0.8
genitive,0.1
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.8
dative obj,0.2
genitive obj,0.0
prepositional obj,0.3
acc+dat obj,1.0
gen+prep obj,0.3
present forms,0.7
past forms,1.4
perfect forms,0.1
pqp forms,0.3
perfect+pqp forms,1.1
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.4
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.3
superlative,0.0
comp+superlative,0.3
conjunctions,0.8
subjunctions,0.2
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.3
question words,0.1
question marks,0.0
subj/pred inversions,1.0
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,25.0
concessive,2.2
conditional,41.0
consecutive,0.0
final,3.0
interrogative,1.2
modal,14.1
other,56.0
temporal,41.3
A1 features,6
A1 features summed,2.0
A2 features,6
A2 features summed,68.2
B1 features,4
B1 features summed,44.8
level features (all),33
level features (all) summed,40.599999999999994
