Feature,Value
words per sent,33.9
LIX,35.669911504424775
# words,339
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.2507936507936508
adjectives,0.4
nouns,4.7
verbs,0.4
pronouns,1.2
particles,17.7
punctuation marks,4.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.0
full verbs,0.4
split verbs,0.0
nominative,0.1
accusative,0.3
dative,0.8
genitive,0.4
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.3
dative obj,0.1
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.4
gen+prep obj,0.0
present forms,0.0
past forms,0.4
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.1
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,19.2
concessive,2.1
conditional,27.7
consecutive,0.0
final,1.6
interrogative,1.1
modal,12.4
other,39.6
temporal,32.1
A1 features,0
A1 features summed,0.0
A2 features,5
A2 features summed,47.6
B1 features,3
B1 features summed,35.300000000000004
level features (all),18
level features (all) summed,32.099999999999994
