Feature,Value
words per sent,15.2
LIX,30.989473684210523
# words,152
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.6704545454545454
adjectives,1.4
nouns,1.5
verbs,2.6
pronouns,3.7
particles,3.0
punctuation marks,3.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.1
aux verbs,0.6
full verbs,1.9
split verbs,0.0
nominative,0.5
accusative,0.6
dative,0.6
genitive,0.2
gen modifiers,0.2
prep with gen,0.0
all genitives,0.2
accusative obj,0.4
dative obj,0.0
genitive obj,0.0
prepositional obj,0.1
acc+dat obj,0.4
gen+prep obj,0.1
present forms,0.3
past forms,0.9
perfect forms,0.0
pqp forms,0.1
perfect+pqp forms,0.3
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.1
superlative,0.0
comp+superlative,0.1
conjunctions,0.0
subjunctions,0.0
relative clauses,0.1
participial clauses pres,0.0
participial clauses past,0.1
all participial clauses,0.1
negations,0.1
question words,0.2
question marks,0.2
subj/pred inversions,0.7
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,35.0
concessive,3.2
conditional,60.8
consecutive,0.0
final,6.2
interrogative,1.8
modal,16.6
other,91.4
temporal,68.1
A1 features,4
A1 features summed,0.6
A2 features,6
A2 features summed,97.10000000000001
B1 features,4
B1 features summed,73.19999999999999
level features (all),33
level features (all) summed,24.500000000000007
