Feature,Value
words per sent,9.4
LIX,32.804255319148936
# words,94
# sents,10
discourse entities,0.1
avg entity frequency,0.0
vocabulary density,0.71875
adjectives,1.2
nouns,1.6
verbs,1.3
pronouns,1.2
particles,2.4
punctuation marks,1.7
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.3
aux verbs,0.3
full verbs,0.7
split verbs,0.0
nominative,0.7
accusative,0.2
dative,0.7
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.2
dative obj,0.1
genitive obj,0.0
prepositional obj,0.0
acc+dat obj,0.3
gen+prep obj,0.0
present forms,0.4
past forms,0.3
perfect forms,0.1
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.1
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.1
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.1
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.5
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,204.2
concessive,24.7
conditional,366.9
consecutive,8.1
final,28.3
interrogative,12.1
modal,81.6
other,421.1
temporal,346.2
A1 features,2
A1 features summed,0.4
A2 features,5
A2 features summed,579.6
B1 features,4
B1 features summed,391.09999999999997
level features (all),22
level features (all) summed,14.499999999999996
