Feature,Value
words per sent,16.6
LIX,47.92530120481928
# words,83
# sents,5
discourse entities,2.2
avg entity frequency,0.36363636363636365
vocabulary density,0.7884615384615384
adjectives,2.2
nouns,3.8
verbs,1.8
pronouns,3.2
particles,3.4
punctuation marks,2.2
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.0
aux verbs,0.6
full verbs,1.2
split verbs,0.2
nominative,1.0
accusative,1.0
dative,0.8
genitive,0.6
gen modifiers,0.4
prep with gen,0.0
all genitives,0.4
accusative obj,0.6
dative obj,0.2
genitive obj,0.0
prepositional obj,0.2
acc+dat obj,0.8
gen+prep obj,0.2
present forms,1.2
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.0
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.0
imperatives,0.0
passive voice,0.2
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.0
subjunctions,0.0
relative clauses,0.6
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.0
question marks,0.0
subj/pred inversions,0.2
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,0.2
concessive,0.2
conditional,0.4
consecutive,0.0
final,0.0
interrogative,0.0
modal,0.0
other,0.8
temporal,0.0
A1 features,1
A1 features summed,0.2
A2 features,5
A2 features summed,1.4
B1 features,3
B1 features summed,1.0
level features (all),24
level features (all) summed,27.0
