Feature,Value
words per sent,9.4
LIX,22.165957446808513
# words,47
# sents,5
discourse entities,2.2
avg entity frequency,0.45454545454545453
vocabulary density,0.7931034482758621
adjectives,0.2
nouns,2.6
verbs,1.6
pronouns,1.4
particles,2.6
punctuation marks,1.0
poss pronouns,0.0
refl pronouns,0.0
modal verbs,0.2
aux verbs,0.4
full verbs,0.6
split verbs,0.0
nominative,1.0
accusative,0.8
dative,0.4
genitive,0.0
gen modifiers,0.0
prep with gen,0.0
all genitives,0.0
accusative obj,0.6
dative obj,0.0
genitive obj,0.0
prepositional obj,0.4
acc+dat obj,0.6
gen+prep obj,0.4
present forms,1.0
past forms,0.0
perfect forms,0.0
pqp forms,0.0
perfect+pqp forms,0.0
past aux forms,0.0
futur 1 forms,0.0
futur 2 forms,0.0
all futur forms,0.0
subj 1 forms,0.0
subj 2 forms,0.2
subj 2 aux forms,0.0
ind speech,0.0
irrealis mode,0.0
all subj forms,0.2
imperatives,0.0
passive voice,0.0
passive with agens,0.0
comparative,0.0
superlative,0.0
comp+superlative,0.0
conjunctions,0.2
subjunctions,0.0
relative clauses,0.0
participial clauses pres,0.0
participial clauses past,0.0
all participial clauses,0.0
negations,0.0
question words,0.2
question marks,0.4
subj/pred inversions,0.4
placeholder 'es',0.0
'brauchen' constr,0.0
'lassen' constr,0.0
'brauchen'+'lassen' constr,0.0
causal,1.8
concessive,0.4
conditional,1.2
consecutive,0.6
final,0.2
interrogative,0.2
modal,0.0
other,4.8
temporal,1.2
A1 features,4
A1 features summed,1.0
A2 features,4
A2 features summed,4.0
B1 features,4
B1 features summed,2.4000000000000004
level features (all),23
level features (all) summed,17.399999999999995
